LABEL	NAME	UNIQUENAME	GENOTYPE	SYNONYM1	SYNONYM2	PLOIDY	INSTITUTE	GERMPLASM_GROUP	CURATOR	PROJECT_NAME	CATEGORY	PROJECT_TYPE	YEAR	PROJECT_DESCRIPTION	LOCATION	LOCATION_CODE
433	PG17169-A14					6	Ghana-CIP		bdeboeck							
434	PG17169-A15					6	Ghana-CIP		bdeboeck							
435	PG17169-A2					6	Ghana-CIP		bdeboeck							
436	PG17169-A3					6	Ghana-CIP		bdeboeck							
437	PG17169-A6					6	Ghana-CIP		bdeboeck							
438	PG17169-A8					6	Ghana-CIP		bdeboeck							
439	PG17170-A1					6	Ghana-CIP		bdeboeck							
440	PG17171-N1					6	Ghana-CIP		bdeboeck							
441	PG17171-N2					6	Ghana-CIP		bdeboeck							
442	PG17171-N3					6	Ghana-CIP		bdeboeck							
443	PG17172-A1					6	Ghana-CIP		bdeboeck							
444	PG17172-A12					6	Ghana-CIP		bdeboeck							
445	PG17172-A13					6	Ghana-CIP		bdeboeck							
446	PG17172-A14					6	Ghana-CIP		bdeboeck							
447	PG17172-A15					6	Ghana-CIP		bdeboeck							
448	PG17172-A2					6	Ghana-CIP		bdeboeck							
